# file...... house_data.csv
# date...... Thu Jun  7 18:10:47 2018
# user...... vagrant
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,house1:air_temperature, house1:cooling_setpoint, house1:compressor_count, house2:air_temperature, house2:cooling_setpoint, house2:compressor_count, house3:air_temperature, house3:cooling_setpoint, house3:compressor_count
2009-06-02 00:00:00 EDT,+73.0291,+69.802,1,+69.6001,+73.3942,0,+71.1484,+71.5943,0
2009-06-02 00:15:00 EDT,+69.8395,+69.802,2,+70.0226,+73.3942,0,+71.4758,+71.5943,0
2009-06-02 00:30:00 EDT,+69.5281,+69.802,3,+70.2626,+73.3942,0,+71.6755,+71.5943,0
2009-06-02 00:45:00 EDT,+69.7374,+69.802,4,+70.4861,+73.3942,0,+71.8628,+71.5943,0
2009-06-02 01:00:00 EDT,+69.3502,+69.802,5,+70.7032,+73.3942,0,+72.045,+71.5943,0
2009-06-02 01:15:00 EDT,+70.505,+69.802,5,+70.8713,+73.3942,0,+72.179,+71.5943,0
2009-06-02 01:30:00 EDT,+70.8019,+69.802,6,+71.0495,+73.3942,0,+72.324,+71.5943,0
2009-06-02 01:45:00 EDT,+70.3817,+69.802,6,+71.2241,+73.3942,0,+72.4662,+71.5943,0
2009-06-02 02:00:00 EDT,+70.7224,+69.802,6,+71.3942,+73.3942,0,+71.6589,+71.5943,1
2009-06-02 02:15:00 EDT,+69.0395,+69.802,7,+71.4796,+73.3942,0,+72.0971,+71.5943,1
2009-06-02 02:30:00 EDT,+70.4549,+69.802,7,+71.6017,+73.3942,0,+72.3201,+71.5943,1
2009-06-02 02:45:00 EDT,+70.6803,+69.802,7,+71.723,+73.3942,0,+72.4302,+71.5943,1
2009-06-02 03:00:00 EDT,+68.8564,+69.802,8,+71.8413,+73.3942,0,+72.5311,+71.5943,1
2009-06-02 03:15:00 EDT,+70.312,+69.802,8,+71.827,+73.3942,0,+72.4992,+71.5943,1
2009-06-02 03:30:00 EDT,+70.4912,+69.802,8,+71.8828,+73.3942,0,+72.5379,+71.5943,1
2009-06-02 03:45:00 EDT,+70.5903,+69.802,8,+71.9414,+73.3942,0,+72.5799,+71.5943,1
2009-06-02 04:00:00 EDT,+70.6823,+69.802,8,+71.9987,+73.3942,0,+71.7565,+71.5943,2
2009-06-02 04:15:00 EDT,+70.7892,+69.802,8,+72.0722,+73.3942,0,+72.2223,+71.5943,2
2009-06-02 04:30:00 EDT,+70.2146,+69.802,9,+72.138,+73.3942,0,+72.3078,+71.5943,2
2009-06-02 04:45:00 EDT,+70.5381,+69.802,9,+72.2018,+73.3942,0,+72.3687,+71.5943,2
2009-06-02 05:00:00 EDT,+70.6554,+69.802,9,+72.2639,+73.3942,0,+72.4266,+71.5943,2
2009-06-02 05:15:00 EDT,+70.7305,+69.802,9,+72.2974,+73.3942,0,+72.456,+71.5943,2
2009-06-02 05:30:00 EDT,+69.57,+69.802,10,+72.3805,+73.3942,0,+72.535,+71.5943,2
2009-06-02 05:45:00 EDT,+70.4886,+69.802,10,+72.4645,+73.3942,0,+70.8988,+71.5943,3
2009-06-02 06:00:00 EDT,+70.6673,+69.802,10,+72.5466,+73.3942,0,+72.1803,+71.5943,3
2009-06-02 06:15:00 EDT,+70.0577,+69.802,12,+73.4868,+73.3942,0,+72.3072,+71.5943,4
2009-06-02 06:30:00 EDT,+68.8163,+69.802,13,+74.0501,+73.3942,0,+72.4447,+71.5943,5
2009-06-02 06:45:00 EDT,+69.5626,+69.802,14,+73.054,+73.3942,1,+72.5783,+71.5943,6
2009-06-02 07:00:00 EDT,+70.0829,+69.802,15,+72.5247,+73.3942,2,+71.6568,+71.5943,8
2009-06-02 07:15:00 EDT,+70.4799,+69.802,17,+73.4265,+73.3942,3,+71.2802,+71.5943,9
2009-06-02 07:30:00 EDT,+69.3268,+69.802,18,+74.1194,+73.3942,4,+72.286,+71.5943,10
2009-06-02 07:45:00 EDT,+70.5334,+69.802,19,+73.2399,+73.3942,6,+71.1785,+71.5943,12
2009-06-02 08:00:00 EDT,+69.0591,+69.802,21,+73.1553,+73.3942,7,+71.6491,+71.5943,13
2009-06-02 08:15:00 EDT,+70.2897,+69.802,22,+74.1931,+73.3942,8,+72.3129,+71.5943,15
2009-06-02 08:30:00 EDT,+69.3657,+69.802,24,+72.6101,+73.3942,10,+71.1488,+71.5943,16
2009-06-02 08:45:00 EDT,+71.888,+75.202,24,+75.1828,+76.9939,10,+72.3947,+71.5943,17
2009-06-02 09:00:00 EDT,+72.871,+75.202,24,+76.0902,+76.9939,10,+70.6673,+71.5943,19
2009-06-02 09:15:00 EDT,+73.8088,+75.202,24,+76.9467,+76.9939,10,+72.1924,+71.5943,20
2009-06-02 09:30:00 EDT,+74.6569,+75.202,24,+77.7152,+76.9939,10,+70.926,+71.5943,22
2009-06-02 09:45:00 EDT,+75.4795,+75.202,24,+77.489,+76.9939,11,+72.0388,+71.5943,23
2009-06-02 10:00:00 EDT,+75.0747,+75.202,25,+77.751,+76.9939,12,+71.2358,+71.5943,25
2009-06-02 10:15:00 EDT,+74.5385,+75.202,26,+76.6282,+76.9939,14,+72.0155,+71.5943,26
2009-06-02 10:30:00 EDT,+75.5435,+75.202,27,+76.9431,+76.9939,15,+71.055,+71.5943,28
2009-06-02 10:45:00 EDT,+75.8455,+75.202,29,+77.8273,+76.9939,16,+72.0727,+71.5943,29
2009-06-02 11:00:00 EDT,+74.7553,+75.202,30,+76.1467,+76.9939,18,+70.9931,+71.5943,31
2009-06-02 11:15:00 EDT,+75.8601,+75.202,31,+77.1796,+76.9939,19,+72.0364,+71.5943,32
2009-06-02 11:30:00 EDT,+74.8419,+75.202,33,+77.8947,+76.9939,20,+71.2165,+71.5943,34
2009-06-02 11:45:00 EDT,+75.2057,+75.202,34,+76.1183,+76.9939,22,+71.8632,+71.5943,35
2009-06-02 12:00:00 EDT,+76.0676,+75.202,35,+77.1217,+76.9939,23,+71.6693,+71.5943,37
2009-06-02 12:15:00 EDT,+74.4285,+75.202,37,+77.7829,+76.9939,25,+71.7851,+71.5943,38
