# Tucson June 23--Jul7, 2017 weather from airport observations to go with CAISO prices from same time period.
# Datetime Temp(F) RH (%) solar_direct (W/sf) solar_difuse (W/sf) pressure (kPA) wind (m/s)
$state_name=Arizona
$city_name=Tucson
temperature,humidity,solar_direct,solar_diffuse,pressure,wind_speed,
06:23:00:00:00,91.04,0.33,0,0,922.77,2.1
06:23:00:01:00,91.022,0.330166667,0,0,922.772,2.108333333
06:23:00:02:00,91.004,0.330333333,0,0,922.774,2.116666667
06:23:00:03:00,90.986,0.3305,0,0,922.776,2.125
06:23:00:04:00,90.968,0.330666667,0,0,922.778,2.133333333
06:23:00:05:00,90.95,0.330833333,0,0,922.78,2.141666667
06:23:00:06:00,90.932,0.331,0,0,922.782,2.15
06:23:00:07:00,90.914,0.331166667,0,0,922.784,2.158333333
06:23:00:08:00,90.896,0.331333333,0,0,922.786,2.166666667
06:23:00:09:00,90.878,0.3315,0,0,922.788,2.175
06:23:00:10:00,90.86,0.331666667,0,0,922.79,2.183333333
06:23:00:11:00,90.842,0.331833333,0,0,922.792,2.191666667
06:23:00:12:00,90.824,0.332,0,0,922.794,2.2
06:23:00:13:00,90.806,0.332166667,0,0,922.796,2.208333333
06:23:00:14:00,90.788,0.332333333,0,0,922.798,2.216666667
06:23:00:15:00,90.77,0.3325,0,0,922.8,2.225
06:23:00:16:00,90.752,0.332666667,0,0,922.802,2.233333333
06:23:00:17:00,90.734,0.332833333,0,0,922.804,2.241666667
06:23:00:18:00,90.716,0.333,0,0,922.806,2.25
06:23:00:19:00,90.698,0.333166667,0,0,922.808,2.258333333
06:23:00:20:00,90.68,0.333333333,0,0,922.81,2.266666667
06:23:00:21:00,90.662,0.3335,0,0,922.812,2.275
06:23:00:22:00,90.644,0.333666667,0,0,922.814,2.283333333
06:23:00:23:00,90.626,0.333833333,0,0,922.816,2.291666667
06:23:00:24:00,90.608,0.334,0,0,922.818,2.3
06:23:00:25:00,90.59,0.334166667,0,0,922.82,2.308333333
06:23:00:26:00,90.572,0.334333333,0,0,922.822,2.316666667
06:23:00:27:00,90.554,0.3345,0,0,922.824,2.325
06:23:00:28:00,90.536,0.334666667,0,0,922.826,2.333333333
06:23:00:29:00,90.518,0.334833333,0,0,922.828,2.341666667
06:23:00:30:00,90.5,0.335,0,0,922.83,2.35
06:23:00:31:00,90.482,0.335166667,0,0,922.832,2.358333333
06:23:00:32:00,90.464,0.335333333,0,0,922.834,2.366666667
06:23:00:33:00,90.446,0.3355,0,0,922.836,2.375
06:23:00:34:00,90.428,0.335666667,0,0,922.838,2.383333333
06:23:00:35:00,90.41,0.335833333,0,0,922.84,2.391666667
06:23:00:36:00,90.392,0.336,0,0,922.842,2.4
06:23:00:37:00,90.374,0.336166667,0,0,922.844,2.408333333
06:23:00:38:00,90.356,0.336333333,0,0,922.846,2.416666667
06:23:00:39:00,90.338,0.3365,0,0,922.848,2.425
06:23:00:40:00,90.32,0.336666667,0,0,922.85,2.433333333
06:23:00:41:00,90.302,0.336833333,0,0,922.852,2.441666667
06:23:00:42:00,90.284,0.337,0,0,922.854,2.45
06:23:00:43:00,90.266,0.337166667,0,0,922.856,2.458333333
06:23:00:44:00,90.248,0.337333333,0,0,922.858,2.466666667
06:23:00:45:00,90.23,0.3375,0,0,922.86,2.475
06:23:00:46:00,90.212,0.337666667,0,0,922.862,2.483333333
06:23:00:47:00,90.194,0.337833333,0,0,922.864,2.491666667
06:23:00:48:00,90.176,0.338,0,0,922.866,2.5
06:23:00:49:00,90.158,0.338166667,0,0,922.868,2.508333333
06:23:00:50:00,90.14,0.338333333,0,0,922.87,2.516666667
06:23:00:51:00,90.122,0.3385,0,0,922.872,2.525
06:23:00:52:00,90.104,0.338666667,0,0,922.874,2.533333333
06:23:00:53:00,90.086,0.338833333,0,0,922.876,2.541666667
06:23:00:54:00,90.068,0.339,0,0,922.878,2.55
06:23:00:55:00,90.05,0.339166667,0,0,922.88,2.558333333
06:23:00:56:00,90.032,0.339333333,0,0,922.882,2.566666667
06:23:00:57:00,90.014,0.3395,0,0,922.884,2.575
06:23:00:58:00,89.996,0.339666667,0,0,922.886,2.583333333
06:23:00:59:00,89.978,0.339833333,0,0,922.888,2.591666667
06:23:01:00:00,89.96,0.34,0,0,922.89,2.6
06:23:01:01:00,89.927,0.340666667,0,0,922.8821667,2.581666667
06:23:01:02:00,89.894,0.341333333,0,0,922.8743333,2.563333333
06:23:01:03:00,89.861,0.342,0,0,922.8665,2.545
06:23:01:04:00,89.828,0.342666667,0,0,922.8586667,2.526666667
06:23:01:05:00,89.795,0.343333333,0,0,922.8508333,2.508333333
06:23:01:06:00,89.762,0.344,0,0,922.843,2.49
06:23:01:07:00,89.729,0.344666667,0,0,922.8351667,2.471666667
06:23:01:08:00,89.696,0.345333333,0,0,922.8273333,2.453333333
06:23:01:09:00,89.663,0.346,0,0,922.8195,2.435
06:23:01:10:00,89.63,0.346666667,0,0,922.8116667,2.416666667
06:23:01:11:00,89.597,0.347333333,0,0,922.8038333,2.398333333
06:23:01:12:00,89.564,0.348,0,0,922.796,2.38
06:23:01:13:00,89.531,0.348666667,0,0,922.7881667,2.361666667
06:23:01:14:00,89.498,0.349333333,0,0,922.7803333,2.343333333
06:23:01:15:00,89.465,0.35,0,0,922.7725,2.325
06:23:01:16:00,89.432,0.350666667,0,0,922.7646667,2.306666667
06:23:01:17:00,89.399,0.351333333,0,0,922.7568333,2.288333333
06:23:01:18:00,89.366,0.352,0,0,922.749,2.27
06:23:01:19:00,89.333,0.352666667,0,0,922.7411667,2.251666667
06:23:01:20:00,89.3,0.353333333,0,0,922.7333333,2.233333333
06:23:01:21:00,89.267,0.354,0,0,922.7255,2.215
06:23:01:22:00,89.234,0.354666667,0,0,922.7176667,2.196666667
06:23:01:23:00,89.201,0.355333333,0,0,922.7098333,2.178333333
06:23:01:24:00,89.168,0.356,0,0,922.702,2.16
06:23:01:25:00,89.135,0.356666667,0,0,922.6941667,2.141666667
06:23:01:26:00,89.102,0.357333333,0,0,922.6863333,2.123333333
06:23:01:27:00,89.069,0.358,0,0,922.6785,2.105
06:23:01:28:00,89.036,0.358666667,0,0,922.6706667,2.086666667
06:23:01:29:00,89.003,0.359333333,0,0,922.6628333,2.068333333
06:23:01:30:00,88.97,0.36,0,0,922.655,2.05
06:23:01:31:00,88.937,0.360666667,0,0,922.6471667,2.031666667
06:23:01:32:00,88.904,0.361333333,0,0,922.6393333,2.013333333
06:23:01:33:00,88.871,0.362,0,0,922.6315,1.995
06:23:01:34:00,88.838,0.362666667,0,0,922.6236667,1.976666667
06:23:01:35:00,88.805,0.363333333,0,0,922.6158333,1.958333333
06:23:01:36:00,88.772,0.364,0,0,922.608,1.94
06:23:01:37:00,88.739,0.364666667,0,0,922.6001667,1.921666667
06:23:01:38:00,88.706,0.365333333,0,0,922.5923333,1.903333333
06:23:01:39:00,88.673,0.366,0,0,922.5845,1.885
06:23:01:40:00,88.64,0.366666667,0,0,922.5766667,1.866666667
06:23:01:41:00,88.607,0.367333333,0,0,922.5688333,1.848333333
06:23:01:42:00,88.574,0.368,0,0,922.561,1.83
06:23:01:43:00,88.541,0.368666667,0,0,922.5531667,1.811666667
06:23:01:44:00,88.508,0.369333333,0,0,922.5453333,1.793333333
06:23:01:45:00,88.475,0.37,0,0,922.5375,1.775
06:23:01:46:00,88.442,0.370666667,0,0,922.5296667,1.756666667
06:23:01:47:00,88.409,0.371333333,0,0,922.5218333,1.738333333
06:23:01:48:00,88.376,0.372,0,0,922.514,1.72
06:23:01:49:00,88.343,0.372666667,0,0,922.5061667,1.701666667
06:23:01:50:00,88.31,0.373333333,0,0,922.4983333,1.683333333
06:23:01:51:00,88.277,0.374,0,0,922.4905,1.665
06:23:01:52:00,88.244,0.374666667,0,0,922.4826667,1.646666667
06:23:01:53:00,88.211,0.375333333,0,0,922.4748333,1.628333333
06:23:01:54:00,88.178,0.376,0,0,922.467,1.61
06:23:01:55:00,88.145,0.376666667,0,0,922.4591667,1.591666667
06:23:01:56:00,88.112,0.377333333,0,0,922.4513333,1.573333333
06:23:01:57:00,88.079,0.378,0,0,922.4435,1.555
06:23:01:58:00,88.046,0.378666667,0,0,922.4356667,1.536666667
06:23:01:59:00,88.013,0.379333333,0,0,922.4278333,1.518333333
06:23:02:00:00,87.98,0.38,0,0,922.42,1.5
06:23:02:01:00,87.947,0.380333333,0,0,922.4198333,1.475
06:23:02:02:00,87.914,0.380666667,0,0,922.4196667,1.45
06:23:02:03:00,87.881,0.381,0,0,922.4195,1.425
06:23:02:04:00,87.848,0.381333333,0,0,922.4193333,1.4
06:23:02:05:00,87.815,0.381666667,0,0,922.4191667,1.375
06:23:02:06:00,87.782,0.382,0,0,922.419,1.35
06:23:02:07:00,87.749,0.382333333,0,0,922.4188333,1.325
06:23:02:08:00,87.716,0.382666667,0,0,922.4186667,1.3
06:23:02:09:00,87.683,0.383,0,0,922.4185,1.275
06:23:02:10:00,87.65,0.383333333,0,0,922.4183333,1.25
06:23:02:11:00,87.617,0.383666667,0,0,922.4181667,1.225
06:23:02:12:00,87.584,0.384,0,0,922.418,1.2
06:23:02:13:00,87.551,0.384333333,0,0,922.4178333,1.175
06:23:02:14:00,87.518,0.384666667,0,0,922.4176667,1.15
06:23:02:15:00,87.485,0.385,0,0,922.4175,1.125
06:23:02:16:00,87.452,0.385333333,0,0,922.4173333,1.1
06:23:02:17:00,87.419,0.385666667,0,0,922.4171667,1.075
06:23:02:18:00,87.386,0.386,0,0,922.417,1.05
06:23:02:19:00,87.353,0.386333333,0,0,922.4168333,1.025
06:23:02:20:00,87.32,0.386666667,0,0,922.4166667,1
06:23:02:21:00,87.287,0.387,0,0,922.4165,0.975
06:23:02:22:00,87.254,0.387333333,0,0,922.4163333,0.95
06:23:02:23:00,87.221,0.387666667,0,0,922.4161667,0.925
06:23:02:24:00,87.188,0.388,0,0,922.416,0.9
06:23:02:25:00,87.155,0.388333333,0,0,922.4158333,0.875
06:23:02:26:00,87.122,0.388666667,0,0,922.4156667,0.85
06:23:02:27:00,87.089,0.389,0,0,922.4155,0.825
06:23:02:28:00,87.056,0.389333333,0,0,922.4153333,0.8
06:23:02:29:00,87.023,0.389666667,0,0,922.4151667,0.775
06:23:02:30:00,86.99,0.39,0,0,922.415,0.75
06:23:02:31:00,86.957,0.390333333,0,0,922.4148333,0.725
06:23:02:32:00,86.924,0.390666667,0,0,922.4146667,0.7
06:23:02:33:00,86.891,0.391,0,0,922.4145,0.675
06:23:02:34:00,86.858,0.391333333,0,0,922.4143333,0.65
06:23:02:35:00,86.825,0.391666667,0,0,922.4141667,0.625
06:23:02:36:00,86.792,0.392,0,0,922.414,0.6
06:23:02:37:00,86.759,0.392333333,0,0,922.4138333,0.575
06:23:02:38:00,86.726,0.392666667,0,0,922.4136667,0.55
06:23:02:39:00,86.693,0.393,0,0,922.4135,0.525
06:23:02:40:00,86.66,0.393333333,0,0,922.4133333,0.5
06:23:02:41:00,86.627,0.393666667,0,0,922.4131667,0.475
06:23:02:42:00,86.594,0.394,0,0,922.413,0.45
06:23:02:43:00,86.561,0.394333333,0,0,922.4128333,0.425
06:23:02:44:00,86.528,0.394666667,0,0,922.4126667,0.4
06:23:02:45:00,86.495,0.395,0,0,922.4125,0.375
06:23:02:46:00,86.462,0.395333333,0,0,922.4123333,0.35
06:23:02:47:00,86.429,0.395666667,0,0,922.4121667,0.325
06:23:02:48:00,86.396,0.396,0,0,922.412,0.3
06:23:02:49:00,86.363,0.396333333,0,0,922.4118333,0.275
06:23:02:50:00,86.33,0.396666667,0,0,922.4116667,0.25
06:23:02:51:00,86.297,0.397,0,0,922.4115,0.225
06:23:02:52:00,86.264,0.397333333,0,0,922.4113333,0.2
06:23:02:53:00,86.231,0.397666667,0,0,922.4111667,0.175
06:23:02:54:00,86.198,0.398,0,0,922.411,0.15
06:23:02:55:00,86.165,0.398333333,0,0,922.4108333,0.125
06:23:02:56:00,86.132,0.398666667,0,0,922.4106667,0.1
06:23:02:57:00,86.099,0.399,0,0,922.4105,0.075
06:23:02:58:00,86.066,0.399333333,0,0,922.4103333,0.05
06:23:02:59:00,86.033,0.399666667,0,0,922.4101667,0.025
06:23:03:00:00,86,0.4,0,0,922.41,0
06:23:03:01:00,85.967,0.4005,0,0,922.4096667,0.035
06:23:03:02:00,85.934,0.401,0,0,922.4093333,0.07
06:23:03:03:00,85.901,0.4015,0,0,922.409,0.105
06:23:03:04:00,85.868,0.402,0,0,922.4086667,0.14
06:23:03:05:00,85.835,0.4025,0,0,922.4083333,0.175
06:23:03:06:00,85.802,0.403,0,0,922.408,0.21
06:23:03:07:00,85.769,0.4035,0,0,922.4076667,0.245
06:23:03:08:00,85.736,0.404,0,0,922.4073333,0.28
06:23:03:09:00,85.703,0.4045,0,0,922.407,0.315
06:23:03:10:00,85.67,0.405,0,0,922.4066667,0.35
06:23:03:11:00,85.637,0.4055,0,0,922.4063333,0.385
06:23:03:12:00,85.604,0.406,0,0,922.406,0.42
06:23:03:13:00,85.571,0.4065,0,0,922.4056667,0.455
06:23:03:14:00,85.538,0.407,0,0,922.4053333,0.49
06:23:03:15:00,85.505,0.4075,0,0,922.405,0.525
06:23:03:16:00,85.472,0.408,0,0,922.4046667,0.56
06:23:03:17:00,85.439,0.4085,0,0,922.4043333,0.595
06:23:03:18:00,85.406,0.409,0,0,922.404,0.63
