R4_12_47_1_xfmr_122:House-1-vehicle1,0,12.5014,0,0
R4_12_47_1_xfmr_122:House-1-vehicle2,0,0,0,0
R4_12_47_1_xfmr_123:House-1-vehicle1,0,66.6667,0,2.8504
R4_12_47_1_xfmr_123:House-1-vehicle2,0,0,0,0
R4_12_47_1_xfmr_123:House-2-vehicle1,103.0271,0,0,2.3591
R4_12_47_1_xfmr_123:House-2-vehicle2,0,8.6322,0,0
R4_12_47_1_xfmr_123:House-3-vehicle1,18.1681,0,6.0799,0
R4_12_47_1_xfmr_123:House-3-vehicle2,0,0,0,0
R4_12_47_1_xfmr_123:House-4-vehicle1,0,29.0121,0,0
R4_12_47_1_xfmr_123:House-4-vehicle2,0,0,0,0
