name,capacity (kW)
R4_12_47_1_xfmr_1,25
R4_12_47_1_xfmr_2,25
R4_12_47_1_xfmr_3,25
R4_12_47_1_xfmr_4,5
R4_12_47_1_xfmr_5,5
R4_12_47_1_xfmr_6,10
R4_12_47_1_xfmr_7,15
R4_12_47_1_xfmr_8,10
R4_12_47_1_xfmr_9,25
R4_12_47_1_xfmr_10,5
R4_12_47_1_xfmr_11,5
R4_12_47_1_xfmr_12,10
R4_12_47_1_xfmr_13,25
R4_12_47_1_xfmr_14,10
R4_12_47_1_xfmr_15,37.5
R4_12_47_1_xfmr_16,5
R4_12_47_1_xfmr_17,37.5
R4_12_47_1_xfmr_18,5
R4_12_47_1_xfmr_19,10
R4_12_47_1_xfmr_20,10
R4_12_47_1_xfmr_21,25
R4_12_47_1_xfmr_22,10
R4_12_47_1_xfmr_23,5
R4_12_47_1_xfmr_24,5
R4_12_47_1_xfmr_25,5
R4_12_47_1_xfmr_26,15
R4_12_47_1_xfmr_27,10
R4_12_47_1_xfmr_28,5
R4_12_47_1_xfmr_29,37.5
R4_12_47_1_xfmr_30,75
R4_12_47_1_xfmr_31,75
R4_12_47_1_xfmr_32,37.5
R4_12_47_1_xfmr_33,37.5
R4_12_47_1_xfmr_34,37.5
R4_12_47_1_xfmr_35,37.5
R4_12_47_1_xfmr_36,37.5
R4_12_47_1_xfmr_37,10
R4_12_47_1_xfmr_38,10
R4_12_47_1_xfmr_39,10
R4_12_47_1_xfmr_40,75
R4_12_47_1_xfmr_41,75
R4_12_47_1_xfmr_42,37.5
R4_12_47_1_xfmr_43,37.5
R4_12_47_1_xfmr_44,50
R4_12_47_1_xfmr_45,37.5
R4_12_47_1_xfmr_46,37.5
R4_12_47_1_xfmr_47,5
R4_12_47_1_xfmr_48,25
R4_12_47_1_xfmr_49,25
R4_12_47_1_xfmr_50,5
R4_12_47_1_xfmr_51,37.5
R4_12_47_1_xfmr_52,15
R4_12_47_1_xfmr_53,10
R4_12_47_1_xfmr_54,10
R4_12_47_1_xfmr_55,10
R4_12_47_1_xfmr_56,15
R4_12_47_1_xfmr_57,15
R4_12_47_1_xfmr_58,15
R4_12_47_1_xfmr_59,10
R4_12_47_1_xfmr_60,15
R4_12_47_1_xfmr_61,15
R4_12_47_1_xfmr_62,37.5
R4_12_47_1_xfmr_63,15
R4_12_47_1_xfmr_64,15
R4_12_47_1_xfmr_65,25
R4_12_47_1_xfmr_66,10
R4_12_47_1_xfmr_67,10
R4_12_47_1_xfmr_68,37.5
R4_12_47_1_xfmr_69,37.5
R4_12_47_1_xfmr_70,10
R4_12_47_1_xfmr_71,15
R4_12_47_1_xfmr_72,37.5
R4_12_47_1_xfmr_73,50
R4_12_47_1_xfmr_74,37.5
R4_12_47_1_xfmr_75,37.5
R4_12_47_1_xfmr_76,37.5
R4_12_47_1_xfmr_77,10
R4_12_47_1_xfmr_78,10
R4_12_47_1_xfmr_79,10
R4_12_47_1_xfmr_80,5
R4_12_47_1_xfmr_81,5
R4_12_47_1_xfmr_82,15
R4_12_47_1_xfmr_83,10
R4_12_47_1_xfmr_84,25
R4_12_47_1_xfmr_85,25
R4_12_47_1_xfmr_86,15
R4_12_47_1_xfmr_87,5
R4_12_47_1_xfmr_88,75
R4_12_47_1_xfmr_89,37.5
R4_12_47_1_xfmr_90,50
R4_12_47_1_xfmr_91,37.5
R4_12_47_1_xfmr_92,37.5
R4_12_47_1_xfmr_93,25
R4_12_47_1_xfmr_94,15
R4_12_47_1_xfmr_95,10
R4_12_47_1_xfmr_96,37.5
R4_12_47_1_xfmr_97,25
R4_12_47_1_xfmr_98,10
R4_12_47_1_xfmr_99,10
R4_12_47_1_xfmr_100,15
R4_12_47_1_xfmr_101,25
R4_12_47_1_xfmr_102,5
R4_12_47_1_xfmr_103,5
R4_12_47_1_xfmr_104,25
R4_12_47_1_xfmr_105,25
R4_12_47_1_xfmr_106,5
R4_12_47_1_xfmr_107,5
R4_12_47_1_xfmr_108,5
R4_12_47_1_xfmr_109,5
R4_12_47_1_xfmr_110,10
R4_12_47_1_xfmr_111,37.5
R4_12_47_1_xfmr_112,5
R4_12_47_1_xfmr_113,37.5
R4_12_47_1_xfmr_114,25
R4_12_47_1_xfmr_115,5
R4_12_47_1_xfmr_116,15
R4_12_47_1_xfmr_117,5
R4_12_47_1_xfmr_118,15
R4_12_47_1_xfmr_119,25
R4_12_47_1_xfmr_120,5
R4_12_47_1_xfmr_121,15
R4_12_47_1_xfmr_122,10
R4_12_47_1_xfmr_123,25
R4_12_47_1_xfmr_124,37.5
R4_12_47_1_xfmr_125,50
R4_12_47_1_xfmr_126,5
R4_12_47_1_xfmr_127,10
R4_12_47_1_xfmr_128,5
R4_12_47_1_xfmr_129,10
R4_12_47_1_xfmr_130,15
R4_12_47_1_xfmr_131,5
R4_12_47_1_xfmr_132,5
R4_12_47_1_xfmr_133,10
R4_12_47_1_xfmr_134,5
R4_12_47_1_xfmr_135,5
R4_12_47_1_xfmr_136,5
R4_12_47_1_xfmr_137,25
R4_12_47_1_xfmr_138,15
R4_12_47_1_xfmr_139,15
R4_12_47_1_xfmr_140,5
R4_12_47_1_xfmr_141,5
R4_12_47_1_xfmr_142,10
R4_12_47_1_xfmr_143,5
R4_12_47_1_xfmr_144,5
R4_12_47_1_xfmr_145,10
R4_12_47_1_xfmr_146,25
R4_12_47_1_xfmr_147,5
R4_12_47_1_xfmr_148,5
R4_12_47_1_xfmr_149,25
R4_12_47_1_xfmr_150,5
R4_12_47_1_xfmr_151,5
R4_12_47_1_xfmr_152,5
R4_12_47_1_xfmr_153,15
R4_12_47_1_xfmr_154,5
R4_12_47_1_xfmr_155,25
R4_12_47_1_xfmr_156,5
R4_12_47_1_xfmr_157,5
R4_12_47_1_xfmr_158,15
R4_12_47_1_xfmr_159,25
R4_12_47_1_xfmr_160,5
R4_12_47_1_xfmr_161,10
R4_12_47_1_xfmr_162,5
R4_12_47_1_xfmr_163,10
R4_12_47_1_xfmr_164,10
R4_12_47_1_xfmr_165,10
R4_12_47_1_xfmr_166,37.5
R4_12_47_1_xfmr_167,10
R4_12_47_1_xfmr_168,5
R4_12_47_1_xfmr_169,5
R4_12_47_1_xfmr_170,15
R4_12_47_1_xfmr_171,10
R4_12_47_1_xfmr_172,10
R4_12_47_1_xfmr_173,25
R4_12_47_1_xfmr_174,10
R4_12_47_1_xfmr_175,15
R4_12_47_1_xfmr_176,10
R4_12_47_1_xfmr_177,5
R4_12_47_1_xfmr_178,5
R4_12_47_1_xfmr_179,15
R4_12_47_1_xfmr_180,10
R4_12_47_1_xfmr_181,15
R4_12_47_1_xfmr_182,37.5
R4_12_47_1_xfmr_183,5
R4_12_47_1_xfmr_184,5
R4_12_47_1_xfmr_185,25
R4_12_47_1_xfmr_186,10
R4_12_47_1_xfmr_187,25
R4_12_47_1_xfmr_188,37.5
R4_12_47_1_xfmr_189,25
R4_12_47_1_xfmr_190,37.5
R4_12_47_1_xfmr_191,25
R4_12_47_1_xfmr_192,37.5
R4_12_47_1_xfmr_193,37.5
R4_12_47_1_xfmr_194,37.5
R4_12_47_1_xfmr_195,15
R4_12_47_1_xfmr_196,5
R4_12_47_1_xfmr_197,5
R4_12_47_1_xfmr_198,5
R4_12_47_1_xfmr_199,25
R4_12_47_1_xfmr_200,5
R4_12_47_1_xfmr_201,15
R4_12_47_1_xfmr_202,5
R4_12_47_1_xfmr_203,5
R4_12_47_1_xfmr_204,15
R4_12_47_1_xfmr_205,5
R4_12_47_1_xfmr_206,25
R4_12_47_1_xfmr_207,5
R4_12_47_1_xfmr_208,5
R4_12_47_1_xfmr_209,5
R4_12_47_1_xfmr_210,37.5
R4_12_47_1_xfmr_211,25
R4_12_47_1_xfmr_212,25
R4_12_47_1_xfmr_213,25
R4_12_47_1_xfmr_214,5
R4_12_47_1_xfmr_215,5
R4_12_47_1_xfmr_216,10
R4_12_47_1_xfmr_217,25
R4_12_47_1_xfmr_218,25
R4_12_47_1_xfmr_219,25
R4_12_47_1_xfmr_220,25
R4_12_47_1_xfmr_221,25
R4_12_47_1_xfmr_222,25
R4_12_47_1_xfmr_223,5
R4_12_47_1_xfmr_224,5
R4_12_47_1_xfmr_225,25
R4_12_47_1_xfmr_226,5
R4_12_47_1_xfmr_227,15
R4_12_47_1_xfmr_228,5
R4_12_47_1_xfmr_229,37.5
R4_12_47_1_xfmr_230,5
R4_12_47_1_xfmr_231,5
R4_12_47_1_xfmr_232,37.5
R4_12_47_1_xfmr_233,5
R4_12_47_1_xfmr_234,25
R4_12_47_1_xfmr_235,25
R4_12_47_1_xfmr_236,5
R4_12_47_1_xfmr_237,37.5
R4_12_47_1_xfmr_238,5
R4_12_47_1_xfmr_239,5
R4_12_47_1_xfmr_240,37.5
R4_12_47_1_xfmr_241,37.5
R4_12_47_1_xfmr_242,5
R4_12_47_1_xfmr_243,37.5
R4_12_47_1_xfmr_244,25
R4_12_47_1_xfmr_245,5
R4_12_47_1_xfmr_246,37.5
R4_12_47_1_xfmr_247,25
R4_12_47_1_xfmr_248,25
R4_12_47_1_xfmr_249,25
R4_12_47_1_xfmr_250,5
R4_12_47_1_xfmr_251,37.5
R4_12_47_1_xfmr_252,5
R4_12_47_1_xfmr_253,37.5
R4_12_47_1_xfmr_254,5
R4_12_47_1_xfmr_255,37.5
R4_12_47_1_xfmr_256,25
R4_12_47_1_xfmr_257,10
R4_12_47_1_xfmr_258,25
R4_12_47_1_xfmr_259,15
R4_12_47_1_xfmr_260,5
R4_12_47_1_xfmr_261,5
R4_12_47_1_xfmr_262,25
R4_12_47_1_xfmr_263,15
R4_12_47_1_xfmr_264,15
R4_12_47_1_xfmr_265,15
R4_12_47_1_xfmr_266,5
R4_12_47_1_xfmr_267,5
