name,capacity (kW)
R4_12_47_1_xfmr_268,37.5
R4_12_47_1_xfmr_269,25
R4_12_47_1_xfmr_270,25
R4_12_47_1_xfmr_271,37.5
R4_12_47_1_xfmr_272,25
R4_12_47_1_xfmr_273,10
R4_12_47_1_xfmr_274,25
R4_12_47_1_xfmr_275,25
R4_12_47_1_xfmr_276,5
R4_12_47_1_xfmr_277,5
R4_12_47_1_xfmr_278,5
R4_12_47_1_xfmr_279,5
R4_12_47_1_xfmr_280,5
R4_12_47_1_xfmr_281,5
R4_12_47_1_xfmr_282,15
R4_12_47_1_xfmr_283,37.5
R4_12_47_1_xfmr_284,25
R4_12_47_1_xfmr_285,15
R4_12_47_1_xfmr_286,15
R4_12_47_1_xfmr_287,15
R4_12_47_1_xfmr_288,15
R4_12_47_1_xfmr_289,15
R4_12_47_1_xfmr_290,15
R4_12_47_1_xfmr_291,10
R4_12_47_1_xfmr_292,10
R4_12_47_1_xfmr_293,15
R4_12_47_1_xfmr_294,10
R4_12_47_1_xfmr_295,15
R4_12_47_1_xfmr_296,37.5
R4_12_47_1_xfmr_297,15
R4_12_47_1_xfmr_298,15
R4_12_47_1_xfmr_299,25
R4_12_47_1_xfmr_300,5
R4_12_47_1_xfmr_301,5
R4_12_47_1_xfmr_302,10
R4_12_47_1_xfmr_303,25
R4_12_47_1_xfmr_304,15
R4_12_47_1_xfmr_305,37.5
R4_12_47_1_xfmr_306,50
R4_12_47_1_xfmr_307,37.5
R4_12_47_1_xfmr_308,5
R4_12_47_1_xfmr_309,5
R4_12_47_1_xfmr_310,25
R4_12_47_1_xfmr_311,25
R4_12_47_1_xfmr_312,5
R4_12_47_1_xfmr_313,37.5
R4_12_47_1_xfmr_314,25
R4_12_47_1_xfmr_315,5
R4_12_47_1_xfmr_316,25
R4_12_47_1_xfmr_317,5
R4_12_47_1_xfmr_318,5
R4_12_47_1_xfmr_319,15
R4_12_47_1_xfmr_320,25
R4_12_47_1_xfmr_321,5
R4_12_47_1_xfmr_322,5
R4_12_47_1_xfmr_323,5
R4_12_47_1_xfmr_324,10
R4_12_47_1_xfmr_325,5
R4_12_47_1_xfmr_326,10
R4_12_47_1_xfmr_327,15
R4_12_47_1_xfmr_328,5
R4_12_47_1_xfmr_329,15
R4_12_47_1_xfmr_330,5
R4_12_47_1_xfmr_331,15
R4_12_47_1_xfmr_332,15
R4_12_47_1_xfmr_333,10
R4_12_47_1_xfmr_334,5
R4_12_47_1_xfmr_335,5
R4_12_47_1_xfmr_336,10
R4_12_47_1_xfmr_337,10
R4_12_47_1_xfmr_338,5
R4_12_47_1_xfmr_339,5
R4_12_47_1_xfmr_340,5
R4_12_47_1_xfmr_341,5
R4_12_47_1_xfmr_342,15
R4_12_47_1_xfmr_343,25
R4_12_47_1_xfmr_344,5
R4_12_47_1_xfmr_345,5
R4_12_47_1_xfmr_346,25
R4_12_47_1_xfmr_347,5
R4_12_47_1_xfmr_348,15
R4_12_47_1_xfmr_349,5
R4_12_47_1_xfmr_350,15
R4_12_47_1_xfmr_351,5
R4_12_47_1_xfmr_352,25
R4_12_47_1_xfmr_353,5
R4_12_47_1_xfmr_354,15
R4_12_47_1_xfmr_355,5
R4_12_47_1_xfmr_356,5
R4_12_47_1_xfmr_357,15
R4_12_47_1_xfmr_358,5
R4_12_47_1_xfmr_359,10
R4_12_47_1_xfmr_360,5
R4_12_47_1_xfmr_361,5
R4_12_47_1_xfmr_362,5
R4_12_47_1_xfmr_363,37.5
R4_12_47_1_xfmr_364,5
R4_12_47_1_xfmr_365,5
R4_12_47_1_xfmr_366,15
R4_12_47_1_xfmr_367,5
R4_12_47_1_xfmr_368,25
R4_12_47_1_xfmr_369,10
R4_12_47_1_xfmr_370,10
R4_12_47_1_xfmr_371,25
R4_12_47_1_xfmr_372,25
R4_12_47_1_xfmr_373,25
R4_12_47_1_xfmr_374,5
R4_12_47_1_xfmr_375,15
R4_12_47_1_xfmr_376,5
R4_12_47_1_xfmr_377,25
R4_12_47_1_xfmr_378,5
R4_12_47_1_xfmr_379,5
R4_12_47_1_xfmr_380,25
R4_12_47_1_xfmr_381,5
R4_12_47_1_xfmr_382,5
R4_12_47_1_xfmr_383,5
R4_12_47_1_xfmr_384,15
R4_12_47_1_xfmr_385,5
R4_12_47_1_xfmr_386,5
R4_12_47_1_xfmr_387,37.5
R4_12_47_1_xfmr_388,5
R4_12_47_1_xfmr_389,25
R4_12_47_1_xfmr_390,37.5
R4_12_47_1_xfmr_391,25
R4_12_47_1_xfmr_392,25
R4_12_47_1_xfmr_393,25
R4_12_47_1_xfmr_394,25
R4_12_47_1_xfmr_395,5
R4_12_47_1_xfmr_396,25
R4_12_47_1_xfmr_397,25
R4_12_47_1_xfmr_398,37.5
R4_12_47_1_xfmr_399,37.5
R4_12_47_1_xfmr_400,37.5
R4_12_47_1_xfmr_401,37.5
R4_12_47_1_xfmr_402,37.5
R4_12_47_1_xfmr_403,15
R4_12_47_1_xfmr_404,15
R4_12_47_1_xfmr_405,25
R4_12_47_1_xfmr_406,25
R4_12_47_1_xfmr_407,25
R4_12_47_1_xfmr_408,37.5
R4_12_47_1_xfmr_409,37.5
R4_12_47_1_xfmr_410,5
R4_12_47_1_xfmr_411,5
R4_12_47_1_xfmr_412,5
R4_12_47_1_xfmr_413,37.5
R4_12_47_1_xfmr_414,37.5
R4_12_47_1_xfmr_415,37.5
R4_12_47_1_xfmr_416,10
R4_12_47_1_xfmr_417,10
R4_12_47_1_xfmr_418,37.5
R4_12_47_1_xfmr_419,37.5
R4_12_47_1_xfmr_420,37.5
R4_12_47_1_xfmr_421,37.5
R4_12_47_1_xfmr_422,10
R4_12_47_1_xfmr_423,5
R4_12_47_1_xfmr_424,15
R4_12_47_1_xfmr_425,5
R4_12_47_1_xfmr_426,25
R4_12_47_1_xfmr_427,37.5
R4_12_47_1_xfmr_428,37.5
R4_12_47_1_xfmr_429,37.5
R4_12_47_1_xfmr_430,15
R4_12_47_1_xfmr_431,15
R4_12_47_1_xfmr_432,15
R4_12_47_1_xfmr_433,10
R4_12_47_1_xfmr_434,5
R4_12_47_1_xfmr_435,5
R4_12_47_1_xfmr_436,5
R4_12_47_1_xfmr_437,37.5
R4_12_47_1_xfmr_438,50
R4_12_47_1_xfmr_439,50
R4_12_47_1_xfmr_440,37.5
R4_12_47_1_xfmr_441,37.5
R4_12_47_1_xfmr_442,37.5
R4_12_47_1_xfmr_443,37.5
R4_12_47_1_xfmr_444,25
R4_12_47_1_xfmr_445,37.5
R4_12_47_1_xfmr_446,37.5
R4_12_47_1_xfmr_447,37.5
R4_12_47_1_xfmr_448,37.5
R4_12_47_1_xfmr_449,75
R4_12_47_1_xfmr_450,5
R4_12_47_1_xfmr_451,5
R4_12_47_1_xfmr_452,10
R4_12_47_1_xfmr_453,25
R4_12_47_1_xfmr_454,5
R4_12_47_1_xfmr_455,15
R4_12_47_1_xfmr_456,5
R4_12_47_1_xfmr_457,5
R4_12_47_1_xfmr_458,5
R4_12_47_1_xfmr_459,25
R4_12_47_1_xfmr_460,25
R4_12_47_1_xfmr_461,25
R4_12_47_1_xfmr_462,10
R4_12_47_1_xfmr_463,25
R4_12_47_1_xfmr_464,25
R4_12_47_1_xfmr_465,37.5
R4_12_47_1_xfmr_466,37.5
R4_12_47_1_xfmr_467,25
R4_12_47_1_xfmr_468,37.5
R4_12_47_1_xfmr_469,25
R4_12_47_1_xfmr_470,10
R4_12_47_1_xfmr_471,25
R4_12_47_1_xfmr_472,15
R4_12_47_1_xfmr_473,37.5
R4_12_47_1_xfmr_474,37.5
R4_12_47_1_xfmr_475,25
R4_12_47_1_xfmr_476,37.5
R4_12_47_1_xfmr_477,5
R4_12_47_1_xfmr_478,45
R4_12_47_1_xfmr_479,30
R4_12_47_1_xfmr_480,45
R4_12_47_1_xfmr_481,300
R4_12_47_1_xfmr_482,30
R4_12_47_1_xfmr_483,30
R4_12_47_1_xfmr_484,112.5
R4_12_47_1_xfmr_485,30
R4_12_47_1_xfmr_486,5
R4_12_47_1_xfmr_487,30
R4_12_47_1_xfmr_488,75
R4_12_47_1_xfmr_489,25
R4_12_47_1_xfmr_490,5
R4_12_47_1_xfmr_491,5
R4_12_47_1_xfmr_492,15
R4_12_47_1_xfmr_493,30
R4_12_47_1_xfmr_494,30
R4_12_47_1_xfmr_495,75
R4_12_47_1_xfmr_496,112.5
R4_12_47_1_xfmr_497,30
R4_12_47_1_xfmr_498,30
R4_12_47_1_xfmr_499,15
R4_12_47_1_xfmr_500,5
R4_12_47_1_xfmr_501,10
R4_12_47_1_xfmr_502,45
R4_12_47_1_xfmr_503,10
R4_12_47_1_xfmr_504,45
R4_12_47_1_xfmr_505,45
R4_12_47_1_xfmr_506,10
R4_12_47_1_xfmr_507,30
R4_12_47_1_xfmr_508,5
R4_12_47_1_xfmr_509,5
R4_12_47_1_xfmr_510,30
R4_12_47_1_xfmr_511,30
R4_12_47_1_xfmr_512,15
R4_12_47_1_xfmr_513,5
R4_12_47_1_xfmr_514,10
R4_12_47_1_xfmr_515,300
R4_12_47_1_xfmr_516,5
R4_12_47_1_xfmr_517,30
R4_12_47_1_xfmr_518,15
R4_12_47_1_xfmr_519,25
R4_12_47_1_xfmr_520,30
R4_12_47_1_xfmr_521,10
R4_12_47_1_xfmr_522,5
R4_12_47_1_xfmr_523,112.5
R4_12_47_1_xfmr_524,112.5
R4_12_47_1_xfmr_525,30
R4_12_47_1_xfmr_526,30
R4_12_47_1_xfmr_527,30
R4_12_47_1_xfmr_528,30
R4_12_47_1_xfmr_529,30
R4_12_47_1_xfmr_530,30
R4_12_47_1_xfmr_531,10
R4_12_47_1_xfmr_532,5
R4_12_47_1_xfmr_533,30
R4_12_47_1_xfmr_534,30
R4_12_47_1_xfmr_535,15
R4_12_47_1_xfmr_536,5
R4_12_47_1_xfmr_537,10
R4_12_47_1_xfmr_538,5
R4_12_47_1_xfmr_539,30
R4_12_47_1_xfmr_540,112.5
R4_12_47_1_xfmr_541,30
R4_12_47_1_xfmr_542,37.5
R4_12_47_1_xfmr_543,10
R4_12_47_1_xfmr_544,30
R4_12_47_1_xfmr_545,10
R4_12_47_1_xfmr_546,30
R4_12_47_1_xfmr_547,30
R4_12_47_1_xfmr_548,5
R4_12_47_1_xfmr_549,10
R4_12_47_1_xfmr_550,112.5
R4_12_47_1_xfmr_551,5
