"# Tucson June 23--Jul7, 2017 weather from airport observations to go with CAISO prices from same time period.",,,,,,
# Datetime Temp(F) RH (%) solar_direct (W/sf) solar_difuse (W/sf) pressure (kPA) wind (m/s),,,,,,
$state_name=Arizona,,,,,,
$city_name=Tucson,,,,,,
temperature,humidity,solar_direct,solar_diffuse,pressure,wind_speed,
06:26:01:00:00,87.98,0.28,0,0,927.35,10.3
06:26:02:00:00,87.08,0.29,0,0,927.37,4.1
06:26:03:00:00,87.08,0.31,0,0,927.33,7.7
06:26:04:00:00,84.92,0.34,0,0,927.02,5.1
06:26:05:00:00,84.02,0.37,0,0,927.43,4.1
06:26:06:00:00,84.02,0.37,0.84,0.37,927.43,4.1
06:26:07:00:00,86,0.35,20.81,4.55,928.64,3.6
06:26:08:00:00,87.98,0.31,41.81,8.64,928.93,3.1
06:26:09:00:00,91.04,0.29,57.51,11.98,928.92,0
06:26:10:00:00,93.02,0.27,66.15,14.31,928.93,0
06:26:11:00:00,96.98,0.24,70.98,16.07,928.66,2.6
06:26:12:00:00,96.98,0.24,78.5,13.84,928.66,2.6
06:26:13:00:00,102.92,0.18,81.29,13.38,928.11,3.1
06:26:14:00:00,102.92,0.17,81.1,13.47,927.19,3.1
06:26:15:00:00,105.98,0.15,79.06,13.66,926.88,6.2
06:26:16:00:00,105.98,0.14,76.27,13.01,926.14,6.7
06:26:17:00:00,105.98,0.12,71.91,11.52,925.86,5.7
06:26:18:00:00,105.98,0.12,64.1,9.57,925.86,5.7
06:26:19:00:00,102.92,0.13,49.05,6.87,925.72,5.7
06:26:20:00:00,100.04,0.14,0,0,925.41,3.1
06:26:21:00:00,98.06,0.16,0,0,925.41,1.5
06:26:22:00:00,95,0.18,0,0,925.72,1.5
06:26:23:00:00,91.04,0.28,0,0,929.7,5.7
06:27:00:00:00,89.96,0.3,0,0,925.55,4.1
06:27:01:00:00,87.08,0.34,0,0,925.22,3.6
06:27:02:00:00,84.92,0.36,0,0,924.73,4.1
06:27:03:00:00,84.02,0.36,0,0,924.5,3.6
06:27:04:00:00,82.94,0.36,0,0,924.53,3.1
06:27:05:00:00,82.04,0.38,0,0,924.94,3.6
06:27:06:00:00,82.04,0.38,1.58,0.37,924.94,3.6
06:27:07:00:00,84.92,0.36,26.94,3.9,926.1,2.6
06:27:08:00:00,89.96,0.31,50.35,7.25,927.02,0
06:27:09:00:00,93.92,0.19,66.33,9.66,927.31,3.1
06:27:10:00:00,96.98,0.12,74.97,11.06,927.47,2.6
06:27:11:00:00,100.04,0.09,80.17,11.89,927.62,5.7
06:27:12:00:00,100.04,0.09,82.22,13.01,927.62,5.7
06:27:13:00:00,104,0.08,83.15,13.56,926.7,4.6
06:27:14:00:00,105.98,0.08,83.24,13.47,926.23,6.2
06:27:15:00:00,105.98,0.08,82.03,13.1,925.4,4.1
06:27:16:00:00,105.98,0.07,79.25,12.36,924.48,6.2
06:27:17:00:00,105.98,0.07,74.32,11.15,923.75,7.2
06:27:18:00:00,105.98,0.07,65.96,9.48,923.75,7.2
06:27:19:00:00,102.02,0.08,50.54,6.87,922.93,6.7
06:27:20:00:00,98.96,0.08,0,0,922.6,4.6
06:27:21:00:00,96.08,0.11,0,0,922.84,2.1
06:27:22:00:00,91.04,0.14,0,0,923.23,2.1
06:27:23:00:00,89.06,0.16,0,0,923.59,2.1
06:28:00:00:00,89.06,0.16,0,0,923.59,2.1
06:28:01:00:00,84.92,0.2,0,0,922.98,3.1
06:28:02:00:00,82.94,0.24,0,0,922.51,3.6
06:28:03:00:00,82.04,0.27,0,0,922.56,4.1
06:28:04:00:00,82.04,0.26,0,0,922.65,3.1
06:28:05:00:00,82.94,0.33,0,0,923.24,3.1
06:28:06:00:00,82.94,0.33,2.51,0.46,923.24,3.1
06:28:07:00:00,84.02,0.35,31.22,3.62,924.41,5.7
06:28:08:00:00,87.98,0.35,54.63,6.78,925.36,6.2
06:28:09:00:00,89.96,0.34,68.84,9.29,925.37,5.7
06:28:10:00:00,93.92,0.26,75.34,11.43,925.47,2.1
06:28:11:00:00,98.06,0.19,78.6,13.19,925.78,1.5
06:28:12:00:00,98.06,0.19,81.66,13.56,925.78,1.5
06:28:13:00:00,102.92,0.12,82.87,13.66,925.26,6.2
06:28:14:00:00,104,0.1,82.68,13.56,924.77,4.6
06:28:15:00:00,104,0.1,82.87,12.17,924.12,5.1
06:28:16:00:00,105.08,0.1,80.82,11.15,923.72,4.1
06:28:17:00:00,104,0.1,76.27,10.03,923.02,5.1
06:28:18:00:00,104,0.1,68.19,8.55,923.02,5.1
06:28:19:00:00,100.94,0.12,52.77,6.32,922.6,3.6
06:28:20:00:00,98.06,0.15,0,0,922.66,7.2
06:28:21:00:00,96.08,0.14,0,0,923.21,4.1
06:28:22:00:00,93.02,0.16,0,0,923.69,3.6
06:28:23:00:00,91.94,0.16,0,0,924,2.6
06:29:00:00:00,91.94,0.16,0,0,924,2.6
06:29:01:00:00,87.98,0.18,0,0,923.52,2.1
06:29:02:00:00,84.92,0.2,0,0,923.17,2.6
06:29:03:00:00,82.94,0.21,0,0,923.15,0
06:29:04:00:00,82.04,0.23,0,0,923.29,2.6
06:29:05:00:00,80.06,0.25,0,0,923.46,2.6
06:29:06:00:00,80.06,0.25,0,0,923.46,2.6
06:29:07:00:00,82.94,0.32,34.65,3.25,924.62,4.1
06:29:08:00:00,87.08,0.35,59.27,5.95,925.59,5.7
06:29:09:00:00,89.06,0.29,73.95,7.8,925.97,4.6
06:29:10:00:00,93.02,0.22,81.48,9.01,929.98,2.6
06:29:11:00:00,96.98,0.18,85.66,9.85,926.55,3.1
06:29:12:00:00,96.98,0.18,86.77,11.06,926.55,3.1
06:29:13:00:00,98.96,0.12,87.33,11.61,925.82,1.5
06:29:14:00:00,102.92,0.09,86.96,11.71,925.26,0
06:29:15:00:00,104,0.08,83.61,12.54,925.04,7.7
06:29:16:00:00,102.92,0.08,79.43,12.54,924.34,1.5
06:29:17:00:00,102.02,0.08,73.39,11.8,923.85,4.1
06:29:18:00:00,102.02,0.08,63.82,10.22,923.85,4.1
06:29:19:00:00,100.04,0.08,47.19,7.43,923.76,5.7
06:29:20:00:00,96.98,0.08,0,0,923.79,3.1
06:29:21:00:00,93.92,0.07,0,0,924.37,4.1
06:29:22:00:00,91.04,0.07,0,0,924.7,4.6
06:29:23:00:00,87.98,0.08,0,0,924.71,2.1
06:30:00:00:00,86,0.08,0,0,924.43,2.6
06:30:01:00:00,82.94,0.09,0,0,924.16,0
06:30:02:00:00,82.94,0.09,0,0,923.7,0
06:30:03:00:00,75.02,0.11,0,0,922.61,3.1
06:30:04:00:00,71.96,0.12,0,0,922.51,2.6
06:30:05:00:00,71.06,0.12,0,0,922.92,2.6
06:30:06:00:00,71.06,0.12,0,0,923.1,6.2
06:30:07:00:00,75.02,0.1,31.87,3.44,924.07,4.1
06:30:08:00:00,82.94,0.08,56.95,6.22,925.08,3.6
06:30:09:00:00,89.06,0.06,73.11,8.08,925.6,0
06:30:10:00:00,95,0.05,81.75,9.1,925.99,2.1
06:30:11:00:00,96.08,0.05,86.77,9.75,925.87,3.6
06:30:12:00:00,96.08,0.05,87.89,11.33,925.87,3.6
06:30:13:00:00,100.04,0.03,88.54,11.98,930.97,5.1
06:30:14:00:00,102.02,0.03,88.54,12.08,924.68,5.1
06:30:15:00:00,104,0.03,88.91,10.87,924.31,3.6
06:30:16:00:00,102.92,0.03,86.86,10.03,923.88,1.5
06:30:17:00:00,104,0.02,82.59,9.1,923.66,3.6
06:30:18:00:00,104,0.02,74.79,7.8,923.66,3.6
06:30:19:00:00,100.94,0.03,59.55,5.85,923.43,3.6
06:30:20:00:00,96.08,0.04,0,0,923.02,3.1
06:30:21:00:00,91.94,0.05,0,0,923.08,2.1
06:30:22:00:00,89.06,0.05,0,0,923.22,2.6
06:30:23:00:00,84.92,0.05,0,0,923.08,2.1
07:01:00:00:00,84.92,0.05,0,0,923.08,2.1
07:01:01:00:00,80.06,0.06,0,0,922.54,3.1
07:01:02:00:00,78.08,0.07,0,0,922.06,4.1
07:01:03:00:00,75.02,0.1,0,0,921.42,3.6
07:01:04:00:00,75.02,0.09,0,0,921.79,3.6
07:01:05:00:00,73.94,0.09,0,0,921.99,4.1
07:01:06:00:00,73.94,0.09,0,0,921.99,4.1
07:01:07:00:00,78.98,0.08,32.24,3.34,923.57,6.7
07:01:08:00:00,86,0.07,56.48,5.95,924.88,3.1
07:01:09:00:00,91.94,0.06,71.63,7.9,925.56,4.1
07:01:10:00:00,96.08,0.06,79.43,9.1,925.96,2.1
07:01:11:00:00,100.04,0.04,83.61,10.13,926.24,2.1
07:01:12:00:00,100.04,0.04,86.58,10.31,926.24,2.1
07:01:13:00:00,105.98,0.03,86.58,11.33,926.23,5.1
07:01:14:00:00,107.06,0.04,85.01,12.36,926.01,4.1
07:01:15:00:00,107.06,0.04,82.31,12.91,925.83,4.6
07:01:16:00:00,107.06,0.04,78.13,12.91,925.37,7.2
07:01:17:00:00,105.98,0.04,72.37,11.98,924.85,4.6
07:01:18:00:00,105.98,0.04,61.97,10.5,924.85,4.6
