HouseName,Total_Load_kWh,Forecasted_Load_kWh_ 1,Forecasted_Load_kWh_ 2,Forecasted_Load_kWh_ 3,Forecasted_Load_kWh_ 4,Forecasted_Load_kWh_ 5,Forecasted_Load_kWh_ 6,Forecasted_Load_kWh_ 7,Forecasted_Load_kWh_ 8,Forecasted_Load_kWh_ 9,Forecasted_Load_kWh_10,Forecasted_Load_kWh_11,Forecasted_Load_kWh_12,Forecasted_Load_kWh_13,Forecasted_Load_kWh_14,Forecasted_Load_kWh_15,Forecasted_Load_kWh_16,Forecasted_Load_kWh_17,Forecasted_Load_kWh_18,Forecasted_Load_kWh_19,Forecasted_Load_kWh_20,Forecasted_Load_kWh_21,Forecasted_Load_kWh_22,Forecasted_Load_kWh_23,Forecasted_Load_kWh_24,Temperature_Setpoint_C,Temperature_Offset_C,Lambda_unitless
SX2673305B_1_house,46.2236751,1.35475,1.088,0.9865,3.85379645,4.38073048083333,2.67082526666667,1.082,1.85631301666667,5.07799705333333,2.5997628325,1.3275,1.3275,1.3275,1.31925,1.298,1.30625,1.344,1.4195,1.52925,1.6095,1.70975,1.9245,2.045,1.7855,26.6222222222222,1.74555555555556,0.087050446053527
SX3048196B_1_house,21.6923333333333,1.089,0.8335,0.7,0.645,0.629333333333334,0.629333333333334,0.664833333333333,0.759333333333333,0.853666666666667,0.885,0.885,0.885,0.885,0.885,0.873166666666667,0.865333333333333,0.877166666666667,0.908666666666667,0.971666666666667,1.0385,1.08566666666667,1.18416666666667,1.33366666666667,1.32533333333333,25.0166666666667,2.52666666666667,0.45613473616834
SX2991911C_1_house,21.6923333333333,0.987666666666667,0.763833333333333,0.674666666666667,0.632333333333334,0.629333333333334,0.629333333333334,0.683833333333333,0.797333333333333,0.879,0.885,0.885,0.885,0.885,0.885,0.866833333333333,0.865333333333333,0.8835,0.921333333333333,0.997,1.0575,1.09833333333333,1.2285,1.38433333333333,1.28733333333333,22.4,2.01722222222222,0.363683642037044
SX2973158C_1_house,17.8668811575,0.418583333333333,0.350666666666667,0.322833333333333,0.314666666666667,0.314666666666667,0.331916666666667,0.378666666666667,0.426166666666667,2.28852065333333,1.7147628325,1.73704928875,1.74080155,1.75208016625,0.43675,0.432666666666667,0.438416666666667,0.454,0.485166666666667,0.51875,0.5425,0.590916666666667,0.6655,0.663666666666667,0.547166666666667,22.7388888888889,2.07611111111111,0.821018522222667
SX3048208A_1_house,47.5229592354167,4.84920895166666,3.35908684416667,1.37136220833333,1.23977911666667,0.635666666666667,1.206308,0.629333333333334,1.85695016583333,2.63164998666667,2.7912111825,2.17773878875,2.84909721666667,2.19340866625,2.88012279666667,2.88877192791667,2.88178583916667,3.55597754416667,0.881833333333333,0.918,0.990333333333333,1.0525,1.095,1.21683333333333,1.371,24.4833333333333,1.73777777777778,0.692483097971757
SX3029502A_1_house,29.5041720158333,3.64119473416666,1.09068349416667,0.96517005625,0.933171,0.899947608333333,0.8627926,0.314666666666667,0.9002204825,3.50233825333333,1.7037628325,2.39822818041667,1.74080155,2.42191750791667,1.76271073,1.76723298625,0.435416666666667,0.432666666666667,0.43975,0.456666666666667,0.4905,0.52275,0.545166666666667,0.60025,0.676166666666667,21.7166666666667,1.67166666666667,0.677801336160339
SX3029502A_2_house,32.5385,1.34925,1.086,0.9855,0.944,0.944,0.97025,1.085,1.2445,1.3275,1.3275,1.3275,1.3275,1.3275,1.31875,1.298,1.30675,1.345,1.4215,1.53075,1.6105,1.71325,1.9285,2.042,1.7775,21.8944444444444,2.64555555555556,0.581269752370285
SX3029502A_3_house,52.4442445645833,4.0595280675,4.47809153833334,3.86310055625,1.50244578333333,1.52832191958333,2.2281006,1.2565,1.93471001666667,5.07799705333333,3.24872084916667,3.28322818041667,1.3275,1.31575,1.298,1.30975,1.351,1.4335,1.53975,1.6165,1.73425,1.9525,2.024,1.7295,1.3515,25.5333333333333,1.99833333333333,0.569948393807257
SX3104125B_1_house,10.8461666666667,0.44425,0.36,0.3275,0.314666666666667,0.314666666666667,0.324916666666667,0.364666666666667,0.416833333333333,0.4425,0.4425,0.4425,0.4425,0.4425,0.439083333333333,0.432666666666667,0.436083333333333,0.449333333333333,0.475833333333333,0.51175,0.537833333333333,0.574583333333333,0.646833333333333,0.677666666666667,0.5845,23.6277777777778,1.83277777777778,0.868144177301276
SX3104125B_2_house,44.7750960095833,4.67287561833333,4.35409153833334,4.18582457083334,1.79528345,1.17840525291667,1.17745926666667,0.658833333333333,0.747333333333333,3.32480878666667,2.1572628325,2.84072818041667,2.18330155,2.19458016625,2.88097479666667,0.875166666666667,0.865333333333333,0.875166666666667,0.904666666666667,0.963666666666667,1.0325,1.08166666666667,1.17016666666667,1.31766666666667,1.33733333333333,25.6055555555556,2.06666666666667,0.73000760091211
