R4_12_47_1_xfmr_122:House-1,R4_12_47_1_xfmr_123:House-1,R4_12_47_1_xfmr_123:House-2,R4_12_47_1_xfmr_123:House-3,R4_12_47_1_xfmr_123:House-4
1.340670466,-0.522682094,-2.140889996,-0.369831145,-1.33205019
0.944325863,-0.945510137,-2.501166549,0.016215303000001,-2.095476518
1.875504529,0.987266382,-0.469318027,1.027633489,-0.193255537
2.665957961,2.453370042,1.728758966,1.843297225,1.57898849
2.437224604,2.657543268,2.656489232,1.770110594,2.385624538
2.767634098,2.117603275,3.552887299,1.385415104,2.031828563
2.088301427,1.308138424,2.49742426,1.03931398,1.438215836
2.199411694,1.321241743,2.080627941,1.096046989,1.237954743
1.594957333,1.014204372,1.799439306,0.822708264,0.751803475
1.748486722,1.05127366,2.009741459,0.843229552,0.705019539
1.759894395,1.235951896,1.939423032,0.988634194,0.814001969
1.725721301,1.533839445,1.625317886,1.016613385,0.797703777
1.530099451,1.29072634,1.438192156,0.927912848,0.901489056
1.262102932,1.20478421,1.398810237,0.624573941,0.703331388
0.303728132,0.647950558,0.577795991,0.052960359,-0.083745761
0.231911975,-0.065284763,-0.266165894,-0.775518546,-1.053181117
0.291898212,-0.52446004,-0.926375386,-1.258603878,-1.560790598
0.721764989,-0.915073473000001,-1.207938193,-1.33379267,-2.009537222
0.524159555999999,-1.082729365,-1.329276929,-1.355894809,-1.995542492
0.609257355,-0.452359946,-0.637962066,-1.169736072,-1.637230514
1.008727029,-0.850290933,0.005699414,-1.125551055,-0.986954369
1.565011684,-0.811469876,0.358693686,-1.116644172,-0.873293753
2.156421407,-0.539000243,0.618336077,-0.722500771,-1.204366033
2.518610409,-0.33901899,0.522791475,-0.468911480000001,-1.015259784
1.99424671,-0.227761673,-0.273969197,-0.1888568,-1.018357323
1.770152287,0.076439537,-0.985812213,0.367341354,-1.067122636
1.855796002,1.323007474,-0.250302726,1.178120615,-0.204025699
1.914957115,1.753350146,0.65253683,1.639552587,0.834900826
2.090168032,2.03964657,1.899567615,1.351126167,1.696604427
2.145806142,1.540048951,3.082047499,1.306488458,1.579423833
2.0413899,1.450056715,2.278753222,1.178482399,1.369949504
2.596451747,0.964952732,1.543339145,0.786660295,1.080331743
1.311826431,0.948956823,1.437729046,0.95382733,0.803559944
1.342672576,0.579245535,1.271108535,0.862010493,0.532021097
1.386165879,0.637071219,1.169047601,0.830137843,0.673901059
1.795657684,0.590632617,1.334581615,0.959104173,0.826122344
1.298618643,0.78119085,1.339132417,0.910109594,1.236995781
1.318274097,0.873506726,1.116831576,0.667762024,0.777738292
0.926624276,0.528032389,0.400673352,-0.117308718,0.066722479
0.990380401,0.177088762,-0.25636036,-0.662338999,-0.563519376
0.831697945,-0.620399903,-1.013130167,-0.936684681,-1.242588723
1.048519472,-0.872324619,-0.973658445999999,-0.985037455,-1.403057984
1.321413779,-1.03523324,-0.833378975,-1.269547456,-1.52704274
1.128476474,-0.299932668999999,-0.302108952999999,-1.137272555,-1.39812242
1.304053598,-0.529839898,0.117510019,-1.135868779,-0.973404371
1.012669102,-0.597573119,0.415479475000001,-1.122338967,-0.955884751000001
1.890527064,-0.753121581,0.747354585,-1.168409831,-1.335677863
2.485043368,-0.139188686,0.831572956000001,-0.937563772,-1.394035248
